go through arr, loop, arr,
go through array, loop, array,
go through a, loop, a,
go through animals, loop, animals,
go through int_5, loop, int_5,
go over arr, loop, arr,
go over array, loop, array,
go over a, loop, a,
go over animals, loop, animals,
go over int_5, loop, int_5,
go along arr, loop, arr,
go along array, loop, array,
go along a, loop, a,
go along animals, loop, animals,
go along int_5, loop, int_5,
loop through arr, loop, arr,
loop through array, loop, array,
loop through a, loop, a,
loop through animals, loop, animals,
loop through int_5, loop, int_5,
loop over arr, loop, arr,
loop over array, loop, array,
loop over a, loop, a,
loop over animals, loop, animals,
loop over int_5, loop, int_5,
loop along arr, loop, arr,
loop along array, loop, array,
loop along a, loop, a,
loop along animals, loop, animals,
loop along int_5, loop, int_5,
pass through arr, loop, arr,
pass through array, loop, array,
pass through a, loop, a,
pass through animals, loop, animals,
pass through int_5, loop, int_5,
pass over arr, loop, arr,
pass over array, loop, array,
pass over a, loop, a,
pass over animals, loop, animals,
pass over int_5, loop, int_5,
pass along arr, loop, arr,
pass along array, loop, array,
pass along a, loop, a,
pass along animals, loop, animals,
pass along int_5, loop, int_5,
walk through arr, loop, arr,
walk through array, loop, array,
walk through a, loop, a,
walk through animals, loop, animals,
walk through int_5, loop, int_5,
walk over arr, loop, arr,
walk over array, loop, array,
walk over a, loop, a,
walk over animals, loop, animals,
walk over int_5, loop, int_5,
walk along arr, loop, arr,
walk along array, loop, array,
walk along a, loop, a,
walk along animals, loop, animals,
walk along int_5, loop, int_5,
flip through arr, loop, arr,
flip through array, loop, array,
flip through a, loop, a,
flip through animals, loop, animals,
flip through int_5, loop, int_5,
flip over arr, loop, arr,
flip over array, loop, array,
flip over a, loop, a,
flip over animals, loop, animals,
flip over int_5, loop, int_5,
flip along arr, loop, arr,
flip along array, loop, array,
flip along a, loop, a,
flip along animals, loop, animals,
flip along int_5, loop, int_5,
move through arr, loop, arr,
move through array, loop, array,
move through a, loop, a,
move through animals, loop, animals,
move through int_5, loop, int_5,
move over arr, loop, arr,
move over array, loop, array,
move over a, loop, a,
move over animals, loop, animals,
move over int_5, loop, int_5,
move along arr, loop, arr,
move along array, loop, array,
move along a, loop, a,
move along animals, loop, animals,
move along int_5, loop, int_5,
iterate through arr, loop, arr,
iterate through array, loop, array,
iterate through a, loop, a,
iterate through animals, loop, animals,
iterate through int_5, loop, int_5,
iterate over arr, loop, arr,
iterate over array, loop, array,
iterate over a, loop, a,
iterate over animals, loop, animals,
iterate over int_5, loop, int_5,
iterate along arr, loop, arr,
iterate along array, loop, array,
iterate along a, loop, a,
iterate along animals, loop, animals,
iterate along int_5, loop, int_5,
scan through arr, loop, arr,
scan through array, loop, array,
scan through a, loop, a,
scan through animals, loop, animals,
scan through int_5, loop, int_5,
scan over arr, loop, arr,
scan over array, loop, array,
scan over a, loop, a,
scan over animals, loop, animals,
scan over int_5, loop, int_5,
scan along arr, loop, arr,
scan along array, loop, array,
scan along a, loop, a,
scan along animals, loop, animals,
scan along int_5, loop, int_5,
check through arr, loop, arr,
check through array, loop, array,
check through a, loop, a,
check through animals, loop, animals,
check through int_5, loop, int_5,
check over arr, loop, arr,
check over array, loop, array,
check over a, loop, a,
check over animals, loop, animals,
check over int_5, loop, int_5,
check along arr, loop, arr,
check along array, loop, array,
check along a, loop, a,
check along animals, loop, animals,
check along int_5, loop, int_5,
browse through arr, loop, arr,
browse through array, loop, array,
browse through a, loop, a,
browse through animals, loop, animals,
browse through int_5, loop, int_5,
browse over arr, loop, arr,
browse over array, loop, array,
browse over a, loop, a,
browse over animals, loop, animals,
browse over int_5, loop, int_5,
browse along arr, loop, arr,
browse along array, loop, array,
browse along a, loop, a,
browse along animals, loop, animals,
browse along int_5, loop, int_5,
skim through arr, loop, arr,
skim through array, loop, array,
skim through a, loop, a,
skim through animals, loop, animals,
skim through int_5, loop, int_5,
skim over arr, loop, arr,
skim over array, loop, array,
skim over a, loop, a,
skim over animals, loop, animals,
skim over int_5, loop, int_5,
skim along arr, loop, arr,
skim along array, loop, array,
skim along a, loop, a,
skim along animals, loop, animals,
skim along int_5, loop, int_5,
look through arr, loop, arr,
look through array, loop, array,
look through a, loop, a,
look through animals, loop, animals,
look through int_5, loop, int_5,
look over arr, loop, arr,
look over array, loop, array,
look over a, loop, a,
look over animals, loop, animals,
look over int_5, loop, int_5,
look along arr, loop, arr,
look along array, loop, array,
look along a, loop, a,
look along animals, loop, animals,
look along int_5, loop, int_5,
loop the arr, loop, arr,
loop the array, loop, array,
loop the a, loop, a,
loop the animals, loop, animals,
loop the int_5, loop, int_5,
go through arr with x, loop, arr, x
go through arr with banana, loop, arr, banana
