,word,if-then,variable,print,loop
0,about,0,0,0,0.0
1,above,0,0,0,0.0
2,absolute,0,0,0,0.0
3,accompany,0,0,0,0.0
4,accomplish,0,0,0,0.0
5,accomplishment,0,0,0,0.0
6,accord,0,0,0,0.0
7,account,0,0,0,0.0
8,accoutrements,0,0,0,0.0
9,accredit,0,2,0,0.0
10,achieve,0,0,0,0.0
11,achievement,0,0,0,0.0
12,acquire,0,2,0,0.0
13,across,0,0,0,0.0
14,act,0,0,0,0.0
15,action,0,0,0,0.0
16,activate,0,0,0,0.0
17,activity,0,0,0,0.0
18,adapt,0,2,0,0.0
19,added,0,0,0,0.0
20,additional,0,0,0,0.0
21,additionally,0,0,0,0.0
22,address,3,0,0,0.0
23,adjudge,0,0,0,2.0
24,adjust,0,5,0,0.0
25,administer,0,0,0,0.0
26,adopt,0,0,0,0.0
27,adorn,0,0,0,0.0
28,advance,0,0,0,0.0
29,advise,3,0,2,0.0
30,affair,0,0,0,0.0
31,affairs,0,0,0,0.0
32,affect,0,0,0,0.0
33,affirm,0,0,0,0.0
34,afford,0,0,0,0.0
35,after,0,0,0,0.0
36,afterwards,3,0,0,0.0
37,agglomeration,0,0,0,0.0
38,aggregation,0,0,0,0.0
39,aim,0,0,0,0.0
40,air,0,0,0,0.0
41,albeit,0,0,0,0.0
42,alert,0,0,0,0.0
43,alienate,0,0,0,0.0
44,alike,0,0,0,0.0
45,all,0,0,0,5.0
46,all-out,0,0,0,0.0
47,allege,0,0,0,0.0
48,allocate,0,5,0,0.0
49,allot,0,5,0,0.0
50,allow,0,0,0,0.0
51,allowing,0,0,0,0.0
52,along,0,0,0,0.0
53,also,3,0,0,0.0
54,alter,0,2,0,0.0
55,alternate,0,0,0,0.0
56,alternative,0,0,0,0.0
57,although,0,0,0,0.0
58,amassing,0,0,0,0.0
59,ambition,0,0,0,0.0
60,amend,0,2,0,0.0
61,amounting,0,0,0,0.0
62,announce,0,0,3,0.0
63,apparatus,0,0,0,0.0
64,apparel,0,0,0,0.0
65,appear,0,0,0,0.0
66,apply,0,5,0,0.0
67,appoint,0,5,0,0.0
68,appointment,0,0,0,0.0
69,apportion,0,0,0,0.0
70,appraise,0,0,0,2.0
71,apprise,0,0,0,0.0
72,appropriate,0,5,0,0.0
73,arc,0,0,0,0.0
74,argue,0,0,0,0.0
75,around,0,0,0,0.0
76,arrange,0,0,0,0.0
77,arrangement,0,0,0,0.0
78,arrant,0,0,0,0.0
79,array,0,3,0,3.0
80,arrest,0,0,0,0.0
81,arrive,0,0,0,0.0
82,artefact,0,0,0,0.0
83,article,0,0,0,0.0
84,articulate,0,0,0,0.0
85,ascertain,0,0,0,0.0
86,ascribe,0,0,0,0.0
87,aspect,0,0,0,0.0
88,assemblage,0,0,0,0.0
89,assemble,0,5,0,5.0
90,assembling,0,0,0,0.0
91,assert,3,0,1,0.0
92,assess,0,0,0,3.0
93,asseverate,0,0,0,0.0
94,assign,0,5,0,0.0
95,assortment,0,0,0,0.0
96,assuming,0,0,0,0.0
97,assure,0,0,0,0.0
98,atop,0,0,0,0.0
99,attain,0,0,0,0.0
100,attend,0,0,0,0.0
101,attest,0,0,0,0.0
102,attire,0,0,0,0.0
103,attorn,0,0,0,0.0
104,attribute,0,5,0,0.0
105,authenticate,0,0,0,0.0
106,aver,0,0,0,0.0
107,aversion,0,0,0,0.0
108,avouch,0,0,0,0.0
109,avow,0,0,0,0.0
110,award,0,0,0,0.0
111,baggage,0,0,0,0.0
112,bags,0,0,0,0.0
113,balanced,0,0,0,0.0
114,bar,0,0,0,0.0
115,barter,0,0,0,0.0
116,basics,0,0,0,0.0
117,bastard,0,0,0,0.0
118,battalion,0,0,0,0.0
119,be,0,0,0,0.0
120,bedeck,0,0,0,0.0
121,beget,0,0,0,0.0
122,beggar,0,0,0,0.0
123,behave,0,0,0,0.0
124,behold,0,0,0,0.0
125,bejewel,0,0,0,0.0
126,believe,0,0,0,0.0
127,belongings,0,0,0,0.0
128,bend,0,0,0,0.0
129,bequeath,0,0,0,0.0
130,berth,0,0,0,0.0
131,besides,0,0,0,0.0
132,bestow,0,0,0,0.0
133,betray,0,0,0,0.0
134,between,0,0,0,0.0
135,beyond,0,0,0,0.0
136,bid,0,0,0,0.0
137,big,0,0,0,0.0
138,bind,0,0,0,0.0
