,word,if-then,variable,print,loop
0, ,0,0,0,0.0
1,',0,0,0,0.0
2,'d,0,0,0,0.0
3,'ll,0,0,0,0.0
4,'re,0,0,0,0.0
5,'s,0,0,0,0.0
6,'ve,0,0,0,0.0
7,.,0,0,0,0.0
8,5,0,0,0,0.0
9,[,0,0,0,0.0
10,],0,0,0,0.0
11,a,0,0,0,0.0
12,ability,0,0,0,0.0
13,able,0,0,0,0.0
14,aboard,0,0,0,0.0
15,about,0,0,0,0.0
16,above,0,0,0,0.0
17,absolute,0,0,0,0.0
18,accept,0,0,0,0.0
19,accepted,0,0,0,0.0
20,accident,0,0,0,0.0
21,accompany,0,0,0,0.0
22,accomplish,0,0,0,0.0
23,accomplishment,0,0,0,0.0
24,accord,0,0,0,0.0
25,according,0,0,0,0.0
26,account,0,0,0,0.0
27,accoutrements,0,0,0,0.0
28,accredit,0,2,0,0.0
29,accurate,0,0,0,0.0
30,achieve,0,0,0,0.0
31,achievement,0,0,0,0.0
32,acquire,0,2,0,0.0
33,acres,0,0,0,0.0
34,across,0,0,0,0.0
35,act,0,0,0,0.0
36,action,0,0,0,0.0
37,activate,0,0,0,0.0
38,active,0,0,0,0.0
39,activities,0,0,0,0.0
40,activity,0,0,0,0.0
41,acts,0,0,0,0.0
42,actual,0,0,0,0.0
43,actually,0,0,0,0.0
44,adapt,0,2,0,0.0
45,add,0,0,0,0.0
46,added,0,0,0,0.0
47,adding,0,0,0,0.0
48,addition,0,0,0,0.0
49,additional,0,0,0,0.0
50,additionally,0,0,0,0.0
51,address,3,0,0,0.0
52,adjective,0,0,0,0.0
53,adjectives,0,0,0,0.0
54,adjudge,0,0,0,2.0
55,adjust,0,5,0,0.0
56,administer,0,0,0,0.0
57,adopt,0,0,0,0.0
58,adorn,0,0,0,0.0
59,adult,0,0,0,0.0
60,advance,0,0,0,0.0
61,adventure,0,0,0,0.0
62,advice,0,0,0,0.0
63,advise,3,0,2,0.0
64,affair,0,0,0,0.0
65,affairs,0,0,0,0.0
66,affect,0,0,0,0.0
67,affirm,0,0,0,0.0
68,afford,0,0,0,0.0
69,afraid,0,0,0,0.0
70,africa,0,0,0,0.0
71,african,0,0,0,0.0
72,after,0,0,0,0.0
73,afternoon,0,0,0,0.0
74,afterwards,3,0,0,0.0
75,again,0,0,0,0.0
76,against,0,0,0,0.0
77,age,0,0,0,0.0
78,agglomeration,0,0,0,0.0
79,aggregation,0,0,0,0.0
80,ago,0,0,0,0.0
81,agree,0,0,0,0.0
82,agreed,0,0,0,0.0
83,ahead,0,0,0,0.0
84,aid,0,0,0,0.0
85,aim,0,0,0,0.0
86,air,0,0,0,0.0
87,airplane,0,0,0,0.0
88,airplanes,0,0,0,0.0
89,alaska,0,0,0,0.0
90,albeit,0,0,0,0.0
91,alert,0,0,0,0.0
92,alice,0,0,0,0.0
93,alienate,0,0,0,0.0
94,alike,0,0,0,0.0
95,alive,0,0,0,0.0
96,all,0,0,0,5.0
97,all-out,0,0,0,0.0
98,allege,0,0,0,0.0
99,allocate,0,5,0,0.0
100,allot,0,5,0,0.0
101,allow,0,0,0,0.0
102,allowed,0,0,0,0.0
103,allowing,0,0,0,0.0
104,almost,0,0,0,0.0
105,alone,0,0,0,0.0
106,along,0,0,0,0.0
107,aloud,0,0,0,0.0
108,alphabet,0,0,0,0.0
109,already,0,0,0,0.0
110,also,3,0,0,0.0
111,alter,0,2,0,0.0
112,alternate,0,0,0,0.0
113,alternative,0,0,0,0.0
114,although,0,0,0,0.0
115,always,0,0,0,0.0
116,am,0,0,0,0.0
117,amassing,0,0,0,0.0
118,ambition,0,0,0,0.0
119,amend,0,2,0,0.0
120,america,0,0,0,0.0
121,american,0,0,0,0.0
122,americans,0,0,0,0.0
123,among,0,0,0,0.0
124,amount,0,0,0,0.0
125,amounting,0,0,0,0.0
126,amounts,0,0,0,0.0
127,an,0,0,0,0.0
128,ancient,0,0,0,0.0
129,and,0,0,0,0.0
130,andy,0,0,0,0.0
131,angle,0,0,0,0.0
132,angles,0,0,0,0.0
133,angry,0,0,0,0.0
134,animal,0,0,0,0.0
135,animals,0,0,0,0.0
136,ann,0,0,0,0.0
137,announce,0,0,3,0.0
138,announced,0,0,0,0.0
139,another,0,0,0,0.0
140,answer,0,0,0,0.0
141,answered,0,0,0,0.0
142,answers,0,0,0,0.0
143,ants,0,0,0,0.0
144,any,0,0,0,0.0
145,anybody,0,0,0,0.0
146,anyone,0,0,0,0.0
147,anything,0,0,0,0.0
148,anyway,0,0,0,0.0
149,anywhere,0,0,0,0.0
150,apart,0,0,0,0.0
151,apartment,0,0,0,0.0
152,apparatus,0,0,0,0.0
153,apparel,0,0,0,0.0
154,appear,0,0,0,0.0
155,appearance,0,0,0,0.0
156,appeared,0,0,0,0.0
157,appears,0,0,0,0.0
158,apple,0,0,0,0.0
159,apples,0,0,0,0.0
160,applied,0,0,0,0.0
161,apply,0,5,0,0.0
162,appoint,0,5,0,0.0
163,appointment,0,0,0,0.0
164,apportion,0,0,0,0.0
165,appraise,0,0,0,2.0
166,apprise,0,0,0,0.0
167,appropriate,0,5,0,0.0
168,april,0,0,0,0.0
169,arc,0,0,0,0.0
170,are,0,0,0,0.0
171,area,0,0,0,0.0
172,areas,0,0,0,0.0
173,arent,0,0,0,0.0
174,argue,0,0,0,0.0
175,arithmetic,0,0,0,0.0
176,arm,0,0,0,0.0
177,arms,0,0,0,0.0
178,army,0,0,0,0.0
179,around,0,0,0,0.0
180,arrange,0,0,0,0.0
181,arranged,0,0,0,0.0
182,arrangement,0,0,0,0.0
183,arrant,0,0,0,0.0
184,array,0,3,0,3.0
185,arrest,0,0,0,0.0
186,arrive,0,0,0,0.0
187,arrived,0,0,0,0.0
188,arrow,0,0,0,0.0
189,arrows,0,0,0,0.0
190,art,0,0,0,0.0
191,artefact,0,0,0,0.0
192,article,0,0,0,0.0
193,articles,0,0,0,0.0
194,articulate,0,0,0,0.0
195,as,0,0,0,0.0
196,ascertain,0,0,0,0.0
197,ascribe,0,0,0,0.0
198,asia,0,0,0,0.0
199,aside,0,0,0,0.0
200,ask,0,0,0,0.0
201,asked,0,0,0,0.0
202,asleep,0,0,0,0.0
203,aspect,0,0,0,0.0
204,assemblage,0,0,0,0.0
205,assemble,0,5,0,5.0
206,assembling,0,0,0,0.0
207,assert,3,0,1,0.0
208,assess,0,0,0,3.0
209,asseverate,0,0,0,0.0
210,assign,0,5,0,0.0
211,assortment,0,0,0,0.0
212,assuming,0,0,0,0.0
213,assure,0,0,0,0.0
214,at,0,0,0,0.0
215,ate,0,0,0,0.0
216,atlantic,0,0,0,0.0
217,atmosphere,0,0,0,0.0
218,atom,0,0,0,0.0
219,atomic,0,0,0,0.0
220,atoms,0,0,0,0.0
221,atop,0,0,0,0.0
222,attached,0,0,0,0.0
223,attack,0,0,0,0.0
224,attain,0,0,0,0.0
225,attempt,0,0,0,0.0
226,attend,0,0,0,0.0
227,attention,0,0,0,0.0
228,attest,0,0,0,0.0
229,attire,0,0,0,0.0
230,attorn,0,0,0,0.0
231,attribute,0,5,0,0.0
232,audience,0,0,0,0.0
233,august,0,0,0,0.0
234,aunt,0,0,0,0.0
235,australia,0,0,0,0.0
236,authenticate,0,0,0,0.0
237,author,0,0,0,0.0
238,automobile,0,0,0,0.0
239,automobiles,0,0,0,0.0
240,autumn,0,0,0,0.0
241,available,0,0,0,0.0
242,aver,0,0,0,0.0
243,average,0,0,0,0.0
244,aversion,0,0,0,0.0
245,avoid,0,0,0,0.0
246,avouch,0,0,0,0.0
247,avow,0,0,0,0.0
248,award,0,0,0,0.0
249,aware,0,0,0,0.0
250,away,0,0,0,0.0
251,babies,0,0,0,0.0
252,baby,0,0,0,0.0
253,back,0,0,0,0.0
254,bad,0,0,0,0.0
255,badly,0,0,0,0.0
256,bag,0,0,0,0.0
257,baggage,0,0,0,0.0
258,bags,0,0,0,0.0
259,balance,0,0,0,0.0
260,balanced,0,0,0,0.0
261,ball,0,0,0,0.0
262,balloon,0,0,0,0.0
263,balls,0,0,0,0.0
264,band,0,0,0,0.0
265,bank,0,0,0,0.0
266,banks,0,0,0,0.0
267,bar,0,0,0,0.0
268,bare,0,0,0,0.0
269,bark,0,0,0,0.0
270,barn,0,0,0,0.0
271,bars,0,0,0,0.0
272,barter,0,0,0,0.0
273,base,0,0,0,0.0
274,baseball,0,0,0,0.0
275,based,0,0,0,0.0
276,basic,0,0,0,0.0
277,basics,0,0,0,0.0
278,basis,0,0,0,0.0
279,basket,0,0,0,0.0
280,bastard,0,0,0,0.0
281,bat,0,0,0,0.0
282,battalion,0,0,0,0.0
283,battle,0,0,0,0.0
284,bay,0,0,0,0.0
285,be,0,0,0,0.0
286,beans,0,0,0,0.0
287,bear,0,0,0,0.0
288,bears,0,0,0,0.0
289,beat,0,0,0,0.0
290,beautiful,0,0,0,0.0
291,beauty,0,0,0,0.0
292,became,0,0,0,0.0
293,because,0,0,0,0.0
294,become,0,0,0,0.0
295,becomes,0,0,0,0.0
296,becoming,0,0,0,0.0
297,bed,0,0,0,0.0
298,bedeck,0,0,0,0.0
