0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1239,307,27,0,0,0,0,0,0,0,2,1,6,0,0,0,0,0,0,0
1,954,2839,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
2,2550,513,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
3,2038,2233,1561,19,0,0,0,0,0,0,1,1,1,9,0,0,0,0,0,0
4,1456,106,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
5,1996,3158,27,2288,0,0,0,0,0,0,1,2,6,2,0,0,0,0,0,0
6,2992,801,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
7,12,182,3421,3031,0,0,0,0,0,0,9,1,1,2,0,0,0,0,0,0
8,1996,1657,27,3158,0,0,0,0,0,0,2,2,6,2,0,0,0,0,0,0
9,230,1749,15,0,0,0,0,0,0,0,2,1,9,0,0,0,0,0,0,0
10,2614,3772,1765,1749,0,0,0,0,0,0,1,2,5,2,0,0,0,0,0,0
11,1456,3763,1955,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0
12,1239,3200,1686,3593,0,0,0,0,0,0,2,1,5,2,0,0,0,0,0,0
13,3772,2308,3421,717,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0
14,555,3763,3421,2233,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0
15,2939,3593,3421,3031,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0
16,2992,699,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
17,1095,307,3672,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0
18,3172,2162,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
19,929,19,3421,3413,0,0,0,0,0,0,3,9,1,2,0,0,0,0,0,0
20,1456,635,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
21,2326,2448,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
