sen, cat, 0, 1
point x to 0, variable, x, 0
point x to x, variable, x, x
point x to wrferer, variable, x, wrferer
point x to banana, variable, x, banana
point x to const, variable, x, const
point x to start, variable, x, start
point x to end, variable, x, end
point x to time, variable, x, time
point x to size, variable, x, size
point x to a, variable, x, a
point x to 4, variable, x, 4
point x to 5, variable, x, 5
point x to 10, variable, x, 10
point x to 234234, variable, x, 234234
point x to 343423424, variable, x, 343423424
point x to london, variable, x, london
point x to opera, variable, x, opera
point x to paul, variable, x, paul
point x to fancy, variable, x, fancy
point x to 9, variable, x, 9
point x to 223, variable, x, 223
point wrferer to 0, variable, wrferer, 0
point wrferer to x, variable, wrferer, x
point wrferer to wrferer, variable, wrferer, wrferer
point wrferer to banana, variable, wrferer, banana
point wrferer to const, variable, wrferer, const
point wrferer to start, variable, wrferer, start
point wrferer to end, variable, wrferer, end
point wrferer to time, variable, wrferer, time
point wrferer to size, variable, wrferer, size
point wrferer to a, variable, wrferer, a
point wrferer to 4, variable, wrferer, 4
point wrferer to 5, variable, wrferer, 5
point wrferer to 10, variable, wrferer, 10
point wrferer to 234234, variable, wrferer, 234234
point wrferer to 343423424, variable, wrferer, 343423424
point wrferer to london, variable, wrferer, london
point wrferer to opera, variable, wrferer, opera
point wrferer to paul, variable, wrferer, paul
point wrferer to fancy, variable, wrferer, fancy
point wrferer to 9, variable, wrferer, 9
point wrferer to 223, variable, wrferer, 223
point banana to 0, variable, banana, 0
point banana to x, variable, banana, x
point banana to wrferer, variable, banana, wrferer
point banana to banana, variable, banana, banana
point banana to const, variable, banana, const
point banana to start, variable, banana, start
point banana to end, variable, banana, end
point banana to time, variable, banana, time
point banana to size, variable, banana, size
point banana to a, variable, banana, a
point banana to 4, variable, banana, 4
point banana to 5, variable, banana, 5
point banana to 10, variable, banana, 10
point banana to 234234, variable, banana, 234234
point banana to 343423424, variable, banana, 343423424
point banana to london, variable, banana, london
point banana to opera, variable, banana, opera
point banana to paul, variable, banana, paul
point banana to fancy, variable, banana, fancy
point banana to 9, variable, banana, 9
point banana to 223, variable, banana, 223
point start to 0, variable, start, 0
point start to x, variable, start, x
point start to wrferer, variable, start, wrferer
point start to banana, variable, start, banana
point start to const, variable, start, const
point start to start, variable, start, start
point start to end, variable, start, end
point start to time, variable, start, time
point start to size, variable, start, size
point start to a, variable, start, a
point start to 4, variable, start, 4
point start to 5, variable, start, 5
point start to 10, variable, start, 10
point start to 234234, variable, start, 234234
point start to 343423424, variable, start, 343423424
point start to london, variable, start, london
point start to opera, variable, start, opera
point start to paul, variable, start, paul
