point y to x, variable, y, x
turn y to x, variable, y, x
set y to x, variable, y, x



safe y as x, variable, y, x



make y a x, variable, y, x



designate x to y, variable, y, x
change x to y, variable, y, x
appoint x to y, variable, y, x
schedule x to y, variable, y, x
direct x to y, variable, y, x
orientate x to y, variable, y, x
realize x to y, variable, y, x
write x to y, variable, y, x
allocate x to y, variable, y, x



change x into y, variable, y, x
deposit x into y, variable, y, x
put x into y, variable, y, x



place x in y, variable, y, x
store x in y, variable, y, x
insert x in y, variable, y, x
deposit x in y, variable, y, x
put x in y, variable, y, x
safe x in y, variable, y, x



x designated to y, variable, y, x
x appointed to y, variable, y, x
x directed to y, variable, y, x
x written to y, variable, y, x
x allocated to y, variable, y, x



x deposited into y, variable, y, x
x put into y, variable, y, x
x inserted into y, variable, y, x



x placed in y, variable, y, x
x stored in y, variable, y, x
x inserted in y, variable, y, x
x deposited in y, variable, y, x
x put in y, variable, y, x
x safed in y, variable, y, x
x realized in y, variable, y, x



may y be x, variable, y, x
may y have x, variable, y, x
may y take x, variable, y, x



y designated to x, variable, y, x
y changed to x, variable, y, x
y appointed to x, variable, y, x
y scheduled to x, variable, y, x
y directed to x, variable, y, x
y orientated to x, variable, y, x
y realized to x, variable, y, x
y directed to x, variable, y, x



assign y x , variable, y, x
make y x , variable, y, x
give y x , variable, y, x
designate y x , variable, y, x
appoint y x , variable, y, x



x = y , variable, y, x
x -> y , variable, y, x
x equal y , variable, y, x
x equalto y , variable, y, x
x be y , variable, y, x
x is y , variable, y, x
x contains y , variable, y, x



y = x , variable, y, x
y <- x , variable, y, x
y equal x , variable, y, x
y equals x , variable, y, x
y equalto x , variable, y, x
y be x , variable, y, x
y is x , variable, y, x
y contains x , variable, y, x



